Date,dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
2016-11-17,83.95898400000078,119.19921899999827,118.30078100000173,118.81835900000078,270.51953100000173
2016-11-18,58.75976599999922,83.95898400000078,119.19921899999827,118.30078100000173,118.81835900000078
2016-11-21,61.910156000001734,58.75976599999922,83.95898400000078,119.19921899999827,118.30078100000173
2016-11-22,77.66015699999843,61.910156000001734,58.75976599999922,83.95898400000078,119.19921899999827
2016-11-23,81.08007799999905,77.66015699999843,61.910156000001734,58.75976599999922,83.95898400000078
2016-11-25,83.37890699999843,81.08007799999905,77.66015699999843,61.910156000001734,58.75976599999922
2016-11-28,58.41992200000095,83.37890699999843,81.08007799999905,77.66015699999843,61.910156000001734
2016-11-29,66.47070299999905,58.41992200000095,83.37890699999843,81.08007799999905,77.66015699999843
2016-11-30,82.17968800000017,66.47070299999905,58.41992200000095,83.37890699999843,81.08007799999905
2016-12-01,101.90820399999939,82.17968800000017,66.47070299999905,58.41992200000095,83.37890699999843
2016-12-02,75.51171800000157,101.90820399999939,82.17968800000017,66.47070299999905,58.41992200000095
2016-12-05,54.96093699999983,75.51171800000157,101.90820399999939,82.17968800000017,66.47070299999905
2016-12-06,88.11914000000252,54.96093699999983,75.51171800000157,101.90820399999939,82.17968800000017
2016-12-07,71.15039099999922,88.11914000000252,54.96093699999983,75.51171800000157,101.90820399999939
2016-12-08,328.5898440000019,71.15039099999922,88.11914000000252,54.96093699999983,75.51171800000157
2016-12-09,137.140625,328.5898440000019,71.15039099999922,88.11914000000252,54.96093699999983
2016-12-12,134.55078100000173,137.140625,328.5898440000019,71.15039099999922,88.11914000000252
2016-12-13,76.84960999999748,134.55078100000173,137.140625,328.5898440000019,71.15039099999922
2016-12-14,107.30078100000173,76.84960999999748,134.55078100000173,137.140625,328.5898440000019
2016-12-15,217.75976599999922,107.30078100000173,76.84960999999748,134.55078100000173,137.140625
2016-12-16,139.78906300000017,217.75976599999922,107.30078100000173,76.84960999999748,134.55078100000173
2016-12-19,102.16992200000095,139.78906300000017,217.75976599999922,107.30078100000173,76.84960999999748
2016-12-20,84.83007800000269,102.16992200000095,139.78906300000017,217.75976599999922,107.30078100000173
2016-12-21,67.21093699999983,84.83007800000269,102.16992200000095,139.78906300000017,217.75976599999922
2016-12-22,44.59960900000078,67.21093699999983,84.83007800000269,102.16992200000095,139.78906300000017
2016-12-23,51.640625,44.59960900000078,67.21093699999983,84.83007800000269,102.16992200000095
2016-12-27,35.089843999998266,51.640625,44.59960900000078,67.21093699999983,84.83007800000269
2016-12-28,40.43945299999905,35.089843999998266,51.640625,44.59960900000078,67.21093699999983
2016-12-29,153.79882799999905,40.43945299999905,35.089843999998266,51.640625,44.59960900000078
2016-12-30,89.5,153.79882799999905,40.43945299999905,35.089843999998266,51.640625
2017-01-03,133.88085900000078,89.5,153.79882799999905,40.43945299999905,35.089843999998266
2017-01-04,162.59960900000078,133.88085900000078,89.5,153.79882799999905,40.43945299999905
2017-01-05,77.31054700000095,162.59960900000078,133.88085900000078,89.5,153.79882799999905
2017-01-06,137.48046800000157,77.31054700000095,162.59960900000078,133.88085900000078,89.5
2017-01-09,165.55078100000173,137.48046800000157,77.31054700000095,162.59960900000078,133.88085900000078
2017-01-10,56.39843800000017,165.55078100000173,137.48046800000157,77.31054700000095,162.59960900000078
2017-01-11,121.08984399999827,56.39843800000017,165.55078100000173,137.48046800000157,77.31054700000095
2017-01-12,140.25976599999922,121.08984399999827,56.39843800000017,165.55078100000173,137.48046800000157
2017-01-13,158.81836000000112,140.25976599999922,121.08984399999827,56.39843800000017,165.55078100000173
2017-01-17,102.64843800000017,158.81836000000112,140.25976599999922,121.08984399999827,56.39843800000017
2017-01-18,107.640625,102.64843800000017,158.81836000000112,140.25976599999922,121.08984399999827
2017-01-19,89.19921899999827,107.640625,102.64843800000017,158.81836000000112,140.25976599999922
2017-01-20,146.20117200000095,89.19921899999827,107.640625,102.64843800000017,158.81836000000112
2017-01-23,84.79882799999905,146.20117200000095,89.19921899999827,107.640625,102.64843800000017
2017-01-24,101.62109399999827,84.79882799999905,146.20117200000095,89.19921899999827,107.640625
2017-01-25,162.5292960000006,101.62109399999827,84.79882799999905,146.20117200000095,89.19921899999827
